_id;amount_sold_in_ico;available_supply;btc_price_at_launch;btc_price_usd;eth_price_at_launch;eth_price_usd;id;is_erc20;market_cap_usd;name;price_btc;price_usd;start_date;total_supply
5dde697421a851220c70d967;101942500000.0;;6944.4;5948.07580524;387.82;170.095529807;HoloToken;true;;HoloToken;;0.0012551879;2018-03-29T00:00:00.000Z;
5dde697421a851220c70d968;5630000.0;;11442.1;5948.07580524;1035.72;170.095529807;scorum;true;;Scorum Coins;;0.0223385766045;2018-01-18T00:00:00.000Z;
5dde697421a851220c70d969;2427.90567;;17307.94;5948.07580524;602.41;170.095529807;Aurora;true;;Aurora;;0.0169969821;2017-12-11T00:00:00.000Z;
5dde697421a851220c70d96a;104875379.0;;4393.76;5948.07580524;298.78;170.095529807;Wanchain;true;;Wanchain;;0.333071481017;2017-10-01T00:00:00.000Z;
5dde697421a851220c70d96b;250000000.0;;9934.91;5948.07580524;451.27;170.095529807;Aelf;true;;Aelf;;0.1615709455;2017-11-28T00:00:00.000Z;
5dde697421a851220c70d96c;16666666.7;;11142.44;5948.07580524;1023.41;170.095529807;Pundi X;true;;Pundi X;;0.000601115;2018-01-21T00:00:00.000Z;
5dde697421a851220c70d96d;291262136.0;;8179.5;5948.07580524;371.62;170.095529807;cybermiles;true;;Cybermiles;;0.01355735;2017-11-21T00:00:00.000Z;
5dde697421a851220c70d96e;5200276.396;;15033.85;5948.07580524;899.995;170.095529807;elastos;true;;Elastos;;3.00811379665;2018-01-02T00:00:00.000Z;
5dde697421a851220c70d96f;139655794.737;;7398.15;5948.07580524;585.65;170.095529807;mobilego;true;;MobileGo;;0.6356862345000001;2018-04-25T00:00:00.000Z;
5dde697421a851220c70d970;520000000.0;;12570.0;5948.07580524;1169.8;170.095529807;digitex;true;;Digitex Futures;;0.0302896869;2018-01-15T00:00:00.000Z;
5dde697421a851220c70d971;20689655172.414;;7896.5;5948.07580524;780.88;170.095529807;dropil;true;;Dropil;;0.000738723340347;2018-02-07T00:00:00.000Z;
5dde697421a851220c70d972;30000000.0;;14766.6;5948.07580524;453.67;170.095529807;nebulas;true;;Nebulas;;0.5013415233;2017-12-08T00:00:00.000Z;
5dde697421a851220c70d973;525000000.0;;6936.75;5948.07580524;381.45;170.095529807;nexo;true;;NEXO;;0.0784357104;2018-04-01T00:00:00.000Z;
5de770c7b103cb07b0f19f5f;200000000.0;;2508.52;5948.07580524;262.38;170.095529807;eos;true;;EOS;;4.8818917197;2017-06-26T00:00:00.000Z;
5de770c7b103cb07b0f19f60;14055048.0;;824.23;5948.07580524;7.92;170.095529807;darcrus;false;;Darcrus;;0.061569699853;2016-12-21T00:00:00.000Z;
5de770c7b103cb07b0f19f61;51000000.0;;1181.17;5948.07580524;22.18;170.095529807;qtum;false;;QTUM;;2.4333847056;2017-03-12T00:00:00.000Z;
5de770c7b103cb07b0f19f62;52000000.0;;2252.71;5948.07580524;205.55;170.095529807;quantum-resistant-ledger;true;;Quantum Resistant Ledger;;0.2034931008;2017-05-01T00:00:00.000Z;
5de770c7b103cb07b0f19f63;999999999.0;;324.99;5948.07580524;0.883399;170.095529807;iota;false;;IOTA;;0.28297319;2015-11-25T00:00:00.000Z;
5de770c7b103cb07b0f19f64;1000000000.0;;2508.52;5948.07580524;262.38;170.095529807;adtoken;true;;adToken;;0.006187923;2017-06-26T00:00:00.000Z;
5de770c7b103cb07b0f19f65;50000000.0;;622.84;5948.07580524;0.31142;170.095529807;ethereum;false;;Ethereum;;170.095529807;2014-07-22T00:00:00.000Z;
5de770c7b103cb07b0f19f66;3000947746.0;;2648.93;5948.07580524;364.96;170.095529807;status;true;;Status;;0.0218073377;2017-06-20T00:00:00.000Z;
5de770c7b103cb07b0f19f67;39600000.0;;2779.12;5948.07580524;390.0;170.095529807;bancor;true;;Bancor;;0.573632;2017-06-12T00:00:00.000Z;
5de770c7b103cb07b0f19f68;70000000.0;;2303.0;5948.07580524;223.0;170.095529807;patientory;true;;Patientory;;0.0204409719;2017-05-31T00:00:00.000Z;
5de770c7b103cb07b0f19f69;1000000000.0;;2271.35;5948.07580524;224.9;170.095529807;basic-attention-token;true;;Basic Attention Token;;0.315423702;2017-05-31T00:00:00.000Z;
5de770c7b103cb07b0f19f6a;15200000.0;;2252.71;5948.07580524;205.55;170.095529807;mysterium;true;;Mysterium;;0.073072828;2017-05-30T00:00:00.000Z;
5de770c7b103cb07b0f19f6b;86009462.31;;2209.25;5948.07580524;209.52;170.095529807;aeternity;true;;Aeternity;;0.4779507021;2017-05-29T00:00:00.000Z;
5de770c7b103cb07b0f19f6c;13521238.01;;288.0;5948.07580524;0.3;170.095529807;bitcrystals;false;;Bitcrystals;;0.0635776987598;2015-07-29T00:00:00.000Z;
5de770c7b103cb07b0f19f6d;9525397.0;;744.6;5948.07580524;10.83;170.095529807;swarm-city;true;;Swarm City;;0.111444039;2016-11-01T00:00:00.000Z;
5de770c7b103cb07b0f19f6e;84000000.0;;667.66;5948.07580524;13.89;170.095529807;stratis;false;;Stratis;;0.786507292;2016-06-20T00:00:00.000Z;
5de770c7b103cb07b0f19f6f;4501622.0;;1012.11;5948.07580524;13.14;170.095529807;etheroll;true;;Etheroll;;0.42796661277;2017-02-13T00:00:00.000Z;
5de770c7b103cb07b0f19f70;131038286.0;;1192.29;5948.07580524;43.31;170.095529807;humaniq;true;;Humaniq;;0.009021645;2017-04-06T00:00:00.000Z;
5de770c7b103cb07b0f19f71;85000000.0;;377.0;5948.07580524;7.44;170.095529807;waves;false;;Waves;;2.2303604799;2016-04-12T00:00:00.000Z;
5de770c7b103cb07b0f19f72;23644056.0;;1315.0;5948.07580524;80.64;170.095529807;tokencard;true;;Tokencard;;0.48064615536000005;2017-05-02T00:00:00.000Z;
5de770c7b103cb07b0f19f73;418760.0;;1155.05;5948.07580524;49.19;170.095529807;gnosis;true;;Gnosis;;16.0022717849;2017-04-24T00:00:00.000Z;
5de770c7b103cb07b0f19f74;60000000.0;;1127.85;5948.07580524;49.5;170.095529807;rlc;true;;iEx.ec;;0.6415272320000001;2017-04-19T00:00:00.000Z;
5de770c7b103cb07b0f19f75;820000000.0;;661.99;5948.07580524;10.46;170.095529807;golem;true;;Golem;;0.071397119;2016-11-11T00:00:00.000Z;
5de770c7b103cb07b0f19f76;7963120.0;;952.99;5948.07580524;50.54;170.095529807;taas;true;;TaaS;;0.78406688198;2017-03-27T00:00:00.000Z;
